2025-04-02 19:50:41,917 - EPOCH ::: 1
2025-04-02 20:04:06,023 - Loss_pi: 3.6857210357983905, Loss_v: 0.08915941067971289
2025-04-02 20:04:10,423 - Loss_pi: 3.681113669129669, Loss_v: 0.08870861146476913
2025-04-02 20:04:14,271 - EPOCH ::: 4
2025-04-02 20:04:15,691 - Loss_pi: 3.5093789100646973, Loss_v: 0.0771394819021225
2025-04-02 20:04:20,082 - Loss_pi: 3.596926689147949, Loss_v: 0.07011143490672112
2025-04-02 20:04:24,489 - Loss_pi: 3.54119865099589, Loss_v: 0.06754215185840924
2025-04-02 20:04:28,875 - Loss_pi: 3.5736840963363647, Loss_v: 0.06621732655912638
2025-04-02 20:04:33,289 - Loss_pi: 3.6214670181274413, Loss_v: 0.06869571879506112
2025-04-02 20:04:37,695 - Loss_pi: 3.643932024637858, Loss_v: 0.05979583521063129
2025-04-02 20:04:42,089 - Loss_pi: 3.6091746602739607, Loss_v: 0.06898557487875223
2025-04-02 20:04:46,469 - Loss_pi: 3.6554501056671143, Loss_v: 0.07415576453786343
2025-04-02 20:04:50,866 - Loss_pi: 3.6398078865475125, Loss_v: 0.07272873353213072
2025-04-02 20:04:55,244 - Loss_pi: 3.6298872232437134, Loss_v: 0.07131042210385204
2025-04-02 20:04:59,678 - Loss_pi: 3.66246544231068, Loss_v: 0.0777432257309556
2025-04-02 20:05:04,048 - Loss_pi: 3.656765580177307, Loss_v: 0.0831164235714823
2025-04-02 20:05:08,461 - Loss_pi: 3.6739991261408877, Loss_v: 0.08299543443494119
2025-04-02 20:05:12,869 - Loss_pi: 3.7008459908621654, Loss_v: 0.08268534944259695
2025-04-02 20:05:17,288 - Loss_pi: 3.6982425689697265, Loss_v: 0.08147994248817364
2025-04-02 20:05:21,626 - Loss_pi: 3.689219906926155, Loss_v: 0.08319708443013951
2025-04-02 20:05:26,011 - Loss_pi: 3.68393081777236, Loss_v: 0.08200658698949743
2025-04-02 20:05:30,400 - Loss_pi: 3.6815183427598743, Loss_v: 0.08087918032995528
